FOODID,FOODNAME_y,CA,CAROTENS,FE,FIBC,FOL,JODI,K,MG,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN,Calsium,Carotenoids,Iron,Fiber,Folate,Iodine,Kalium,Magnesium,Niacin,Phosphorus,Riboflavin,Selenium,Thiamin,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B6,Zinc
320,WHITE CABBAGE,38.0,218.0,0.2,2.5,29.94,1.0,240.0,10.0,0.751,27.0,0.05,10.0,0.07,5.46,0.0,36.8,0.0,0.04,60.0,0.16,0.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,RED CABBAGE,32.0,41.1,0.24,2.5,39.0,1.0,270.0,11.0,0.584,31.0,0.05,10.0,0.13,1.26,0.0,48.3,0.0,0.05,42.0,0.15,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,CAULIFLOWER,28.0,44.0,0.49,2.2,85.88,1.0,330.0,16.0,1.184,44.0,0.058,10.0,0.1,0.93,0.0,51.8,0.0,0.09,20.0,0.15,0.25,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
324,BROCCOLI,30.0,2858.2,0.69,3.5,113.05,1.0,390.0,20.0,1.451,81.0,0.2,10.0,0.1,85.95,0.0,65.1,0.0,0.68,110.0,0.11,0.54,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
326,KALE,240.0,41700.0,0.73,6.7,120.0,1.0,470.0,30.0,1.0,52.0,0.35,10.0,0.12,765.76,0.0,65.8,0.0,5.4,618.0,0.35,0.26,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0
327,BRUSSELS SPROUT,26.0,1353.7,0.38,4.4,93.58,1.0,520.0,24.0,0.7,66.0,0.16,10.0,0.11,35.81,0.0,108.0,0.0,0.4,220.0,0.28,0.27,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
329,KOHLRABI,18.0,24.0,0.13,1.9,82.0,1.0,330.0,18.0,0.4,38.0,0.06,10.0,0.06,1.992,0.0,52.1,0.0,0.48,0.0,0.15,0.15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
330,LETTUCE,56.0,2734.5,0.7,1.0,51.25,1.0,360.0,21.0,0.567,40.0,0.07,0.2,0.06,81.63,0.0,4.5,0.0,0.63,115.0,0.06,0.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
331,ICEBERG LETTUCE,56.0,329.1,0.7,1.2,53.0,1.0,360.0,21.0,0.567,40.0,0.08,0.2,0.04,6.15,0.0,7.0,0.0,0.63,40.0,0.05,0.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,PARSLEY,135.0,15896.8,2.9,8.0,170.0,6.0,770.0,44.0,2.635,70.0,0.3,0.2,0.05,468.72,0.0,200.0,0.0,3.58,0.0,0.11,1.5,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
334,"NETTLE, STINGING NETTLE",430.0,5442.0,3.5,6.6,194.0,1.0,660.0,87.0,1.401,140.0,0.15,10.0,0.2,100.181,0.0,64.4,0.0,1.64,270.0,0.27,1.5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
335,ONION,33.0,23.1,0.5,1.7,13.5,1.0,220.0,11.0,0.4,40.0,0.02,0.5,0.03,0.57,0.0,10.2,0.0,0.04,0.7,0.13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,"ONION, DRIED",216.0,165.0,3.27,35.0,166.0,0.0,1440.0,72.0,2.9,262.0,0.15,3.571,0.23,4.091,0.0,40.0,0.0,0.286,5.0,1.94,2.618,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
337,LEEK,32.0,2935.4,0.6,2.1,56.0,1.0,320.0,15.0,0.901,50.0,0.02,0.4,0.15,83.37,0.0,25.0,0.0,0.34,54.0,0.25,0.4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,RHUBARB,75.0,235.0,0.1,1.4,7.0,1.0,320.0,9.0,0.484,17.0,0.03,0.2,0.01,5.05,0.0,5.0,0.0,0.25,4.0,0.04,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,CELERY,45.0,10096.0,0.29,1.0,16.0,0.0,150.0,15.0,0.684,37.0,0.04,0.4,0.03,243.49,0.0,6.0,0.0,0.27,12.0,0.09,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"ASPARAGUS, CANNED",14.0,32.0,0.3,1.5,96.0,4.0,130.0,9.0,1.305,30.0,0.17,1.0,0.16,2.656,0.0,33.0,0.0,0.3,0.0,0.17,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,"MUSHROOM, BOLETUS, RUSSULA",5.0,0.0,2.7,1.9,25.5,1.0,340.0,9.0,7.229,72.0,0.4,14.1,0.1,0.0,0.0,5.0,4.36,0.0,0.02,0.22,0.65,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
343,"MUSHROOM, MILK CAPS, SALTED",5.0,0.0,2.7,1.5,21.0,3.0,340.0,9.0,5.714,72.0,0.4,36.0,0.1,0.0,0.0,2.0,5.28,0.0,0.288,0.22,0.66,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
344,MUSHROOM IN VINEGAR,4.8,0.0,2.565,2.4,18.68,2.83,323.0,8.55,5.143,68.4,0.38,32.033,0.1,0.0,0.0,1.9,4.696,0.0,0.256,0.07,0.95,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
345,"CHAMPIGNON, FRESH",1.9,0.0,0.37,1.5,35.0,1.0,364.0,10.0,6.051,98.0,0.42,11.0,0.1,0.0,0.06,1.3,0.21,0.0,0.3,0.18,0.51,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
346,CUCUMBER,14.7,612.3,0.18,0.7,9.65,1.0,221.8,8.77,0.367,29.3,0.09,0.5,0.04,11.25,0.0,8.0,0.0,0.04,15.0,0.04,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,"CUCUMBER, PICKLED CUCUMBER, WITHOUT ADDED SUGAR",15.0,551.1,0.5,1.1,8.0,1.0,140.0,9.0,0.3,20.0,0.09,0.454,0.04,10.122,0.0,6.0,0.0,0.036,13.5,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,"PICKLED CUCUMBER, SWEET, FLAVOURED",15.0,690.2,0.49,1.8,8.0,1.0,140.0,9.5,0.3,19.0,0.09,0.448,0.04,14.93,0.0,8.0,0.0,0.034,12.675,0.01,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,PUMPKIN,25.0,7260.0,0.27,2.0,22.0,1.0,243.0,11.2,0.35,19.0,0.09,0.0,0.04,367.69,0.0,8.0,0.0,1.06,1.1,0.05,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,"SALAD, PICKLED PUMPKIN",20.0,3057.0,0.3,1.7,19.0,1.0,12.0,7.0,0.256,20.0,0.24,0.1,0.2,121.01,0.0,25.8,0.0,0.774,0.802,0.07,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
352,TOMATO,8.64,4106.2,0.19,1.4,11.57,1.0,237.1,8.27,0.85,25.9,0.04,0.5,0.06,66.76,0.0,14.1,0.0,0.66,5.0,0.08,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,TOMATO PUREE,11.3,23419.8,0.363,1.0,8.0,12.85,362.5,13.75,4.018,37.5,0.05,0.756,0.09,10.992,0.0,33.0,0.0,0.995,7.541,0.18,0.275,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
355,"SWEET PEPPER, AVERAGE",8.6,5416.1,0.52,1.9,55.86,1.0,242.0,13.6,1.14,27.0,0.078,0.16,0.028,154.19,0.0,184.8,0.0,2.16,5.112,0.54,0.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
356,"MIXED VEGETABLES, CARROT, CAULIFLOWER, PEA, BEAN",13.0,5798.2,0.7,2.2,45.94,1.0,120.0,12.0,1.721,40.0,0.08,2.019,0.08,358.68,0.0,42.0,0.0,0.29,24.65,0.1,0.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,CHINESE CABBAGE,33.0,55.4,0.27,1.1,52.06,0.0,290.0,9.6,0.6,36.0,0.04,10.0,0.03,1.26,0.0,15.5,0.0,0.24,80.0,0.14,0.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,SWISS CHARD,88.0,3692.0,1.3,1.4,30.0,1.0,470.0,59.0,0.4,30.0,0.16,0.9,0.1,304.568,0.0,39.0,0.0,1.89,830.0,0.27,0.9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
362,AUBERGINE,7.0,31.0,0.27,2.5,18.0,0.0,217.0,14.0,0.9,22.0,0.03,0.0,0.04,2.573,0.0,5.0,0.0,0.09,6.0,0.1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,SWEET CORN KERNELS,2.0,849.1,0.52,3.7,41.0,0.0,270.0,37.0,2.651,89.0,0.08,0.4,0.15,6.95,0.0,12.0,0.0,0.08,0.3,0.22,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,GARDEN CRESS,70.0,2600.0,1.0,3.3,30.0,0.0,150.0,40.0,1.0,35.0,0.19,0.9,0.15,215.8,0.0,59.0,0.0,0.7,250.0,0.1,0.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
367,CHANTERELLE,3.6,1329.4,0.85,3.22,7.4,1.0,450.0,10.0,4.433,50.0,0.12,18.0,0.045,110.34,0.0,0.25,5.77,0.0,0.02,0.04,0.77,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
368,FALSE MOREL,3.6,0.0,0.85,3.22,21.0,1.0,450.0,0.14,4.433,50.0,0.12,39.0,0.045,0.0,0.0,0.25,5.77,0.0,0.0,0.22,0.73,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
